code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
RIOK3:66323eaa	69426	0.0	0.0	0.0	1.0	3.0	1.0
RIOK3:66323eaa	a	2.0	0.0	0.0	22.0	21.0	17.0
RIOK3:66323eaa	m	1.0	0.0	0.0	0.0	1.0	0.0
RIOK3:7ae8d52d	17596	0.0	0.0	1.0	63.0	75.0	38.0
RIOK3:7ae8d52d	17802	0.0	2.0	0.0	21.0	39.0	17.0
RIOK3:7ae8d52d	19227	0.0	0.0	3.0	34.0	40.0	22.0
RIOK3:7ae8d52d	19228	0.0	0.0	0.0	1.0	7.0	2.0
RIOK3:7ae8d52d	19229	1.0	0.0	1.0	15.0	34.0	13.0
RIOK3:7ae8d52d	69426	0.0	1.0	1.0	7.0	11.0	1.0
RIOK3:7ae8d52d	a	0.0	2.0	1.0	70.0	145.0	60.0
RIOK3:7ae8d52d	m	0.0	0.0	1.0	13.0	14.0	7.0
RIOK3:80712835	17596	0.0	1.0	0.0	18.0	20.0	21.0
RIOK3:80712835	17802	0.0	0.0	0.0	6.0	17.0	14.0
RIOK3:80712835	19227	0.0	0.0	0.0	16.0	12.0	5.0
RIOK3:80712835	19228	0.0	0.0	0.0	2.0	3.0	2.0
RIOK3:80712835	19229	0.0	0.0	0.0	3.0	6.0	2.0
RIOK3:80712835	69426	0.0	0.0	0.0	1.0	3.0	0.0
RIOK3:80712835	a	0.0	6.0	0.0	38.0	43.0	16.0
RIOK3:80712835	m	0.0	0.0	0.0	7.0	4.0	3.0
RIOK3:9baa49dd	17596	1.0	0.0	1.0	14.0	5.0	4.0
RIOK3:9baa49dd	17802	1.0	0.0	1.0	3.0	12.0	6.0
RIOK3:9baa49dd	19227	1.0	0.0	4.0	2.0	10.0	7.0
